root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096    4096    32979    37549  1898159  1864376   452354    38689   535084     32951    511948    38977    40766   391628   503265
            8192       4    51068    53146   652485   583854    32036    51041    18878   2075514     91885    46085    47695   456863   703648
            8192       8    49363    48996   711856   788450    99086    47890    34698   2355374    121370    47063    52578   651866   687486
            8192      16    52005    50438   552204   721694   120068    50484    86621   2195537    236906    51185    53424   519336   563100
            8192      32    45475    52882   732417   684091   244398    46208   135154   2120080    341162    46243    46716   712594   521813
            8192      64    51269    51787   687128   750248   252193    51116   190906   1853395    411553    50538    49919   536788   527493
            8192     128    48462    52897   596007   568730   363572    40651   262884   1585750    429331    51295    52841   709079   675577
            8192     256    53750    51791   683343   609876   450732    49260   418812   1243305    593885    53226    52659   552275   722468
            8192     512    51211    50597   845678   767252   493045    44428   473608    874921   1927960    51460    50797   521346   627978
            8192    1024    44717    47178   792341   653838   530949    47959   463582    502792   1303836    42596    45593   549467   569758
            8192    2048    52198    46716   850766   882290   512932    46456   609476    143722    819439    46817    48332   465321   546496
            8192    4096    51647    50819  1590963  2103725   629232    53112   565715     75638    612213    51711    52399   565547   555238
            8192    8192    51309    50644  2067148  2102052   445046    49909   469319     52178    544029    20493    49568   428432   399569
           16384       4    75752    65780   669031   630906    32230    76382    17965   2516016     84144    77742    76132   695029   712127
           16384       8    76451    77805   676967   689243    62133    77315    35608   3016286    157682    73388    74228   613244   600937
