root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
"262144"   591819  688551  658755  611651  700363  692639  695224  674625  590020  624580  586891  650644  648893
"524288"   691012  691007  683645  678071  679211  658229  638279  637331  592460  623251  616859  619646  598764
"1048576"   694250  715893  673739  675234  633610  656328  643827  640090  622437  592064  640246  623376  483693
"2097152"   82905  81729  83485  82623  85026  81436  81402  81633  83592  81980  81560  83364  83220

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   21150  29492  98011  77096  88277
"128"   28489  44093  64320  108550  146653  130886
"256"   29044  54166  73625  100784  149779  161834  154410
"512"   34323  55160  94553  104537  123668  163483  216593  161868
"1024"   54578  64634  90156  167649  169561  212099  287542  249203  297851
"2048"   34592  90104  120203  169943  265286  254661  366171  384082  370067  391576
"4096"   59789  64501  129435  178157  257674  390915  381547  491431  479860  466301  452354
"8192"   32036  99086  120068  244398  252193  363572  450732  493045  530949  512932  629232  445046
"16384"   32230  62133  118724  177055  307518  393240  486231  523398  563353  622420  556505  543775  656040
"32768"   29647  54391  108632  213012  286215  383507  474533  487234  418204  502422  548225  585739  618440
"65536"   32111  53310  95832  178989  257577  358149  454732  474087  482279  520912  551333  609585  534119
"131072"   32891  55985  92352  165703  231413  353189  451196  437608  528045  492648  586021  596954  615925
"262144"   31122  54495  95398  162210  202326  326826  423358  488355  544809  535292  578257  588612  628938
"524288"   28511  54406  94092  160956  209161  314254  428668  470720  485913  547261  590362  570661  433228
"1048576"   28804  55777  97849  150498  179879  327721  426120  493643  466521  522332  561188  565682  565378
"2097152"   4370  9592  16498  29722  48785  74799  107514  151265  195538  205416  233270  264838  289354

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   20617  22510  26478  27563  27597
"128"   39592  44803  516  42230  37415  42595
"256"   54202  53951  54516  49383  49660  51832  51677
"512"   65490  59967  62900  61649  62030  66553  63405  67130
"1024"   72769  71618  72275  74625  72892  71120  70591  48416  66399
"2048"   37441  37200  39595  41154  38965  32436  38988  41847  6646  36687
"4096"   38176  40488  38167  40412  38555  38753  36158  40037  36553  34083  38689
"8192"   51041  47890  50484  46208  51116  40651  49260  44428  47959  46456  53112  49909
"16384"   76382  77315  73116  74118  77023  78342  78172  65128  74453  74139  73001  73594  74497
"32768"   49977  80910  81327  79305  81203  71794  82326  49763  75442  80218  78651  69134  80930
"65536"   73151  78446  60523  80505  79466  62977  53324  57141  52049  56907  52760  57186  51817
"131072"   53155  54085  51772  54926  55231  53932  52661  54832  55989  54130  55953  48534  51016
"262144"   43385  47848  45442  52946  49738  54313  48385  50910  54824  52529  51380  54008  51945
"524288"   22951  25215  24827  28638  35360  44902  47253  46388  47060  50359  50341  54444  53152
"1048576"   11087  13347  14412  19396  29130  43244  50861  51329  44089  50437  52443  53708  56392
"2097152"   6051  7435  9536  15709  26433  40715  48638  49297  40981  47348  48799  53719  51308

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   15643  37782  46572  71415  79991
"128"   20931  35594  33917  77764  109592  140036
"256"   23624  42091  67030  106134  90269  141826  167098
"512"   21178  37334  70886  105939  130215  167591  227251  208964
"1024"   19565  41055  68549  121729  166666  191118  264520  253154  283893
"2048"   21362  38378  73454  127545  192898  273723  390988  419066  441487  402285
"4096"   19368  45270  76486  124619  228827  306883  371049  426090  324253  464398  535084
"8192"   18878  34698  86621  135154  190906  262884  418812  473608  463582  609476  565715  469319
"16384"   17965  35608  73211  142023  179580  299262  436802  450121  560427  542928  586084  656015  574271
"32768"   17599  37650  70332  118989  181936  313764  438532  506359  506530  509722  653802  586169  621831
"65536"   17849  34170  68413  141244  181514  344095  402074  450766  478493  511061  551886  616415  631617
"131072"   16761  33117  68404  113309  198537  279137  389179  478471  522953  504926  293993  591640  595035
"262144"   17262  34419  67213  119060  119466  311751  373010  479610  524662  508696  503750  596531  579551
"524288"   16371  33339  60353  111061  131364  297595  379050  487641  388119  501251  548682  610732  560993
"1048576"   17121  32710  62416  104898  139282  243008  371870  469487  475492  542794  578560  599807  647610
"2097152"   9065  21489  31338  50667  56365  109648  140730  175743  230817  247447  274386  291112  300019

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   37016  37623  36612  23079  26143
"128"   75384  78965  73778  67762  53378  40635
"256"   155236  149010  144149  127118  109545  85395  49524
"512"   278106  287180  278901  258086  208720  153569  108470  64402
"1024"   535011  549382  506672  470794  429376  314884  218753  132708  73684
"2048"   960648  912676  923767  867774  730076  548323  418046  257771  145032  39462
"4096"   1400288  1534628  1493277  1407516  1263801  986962  686102  496545  290869  74433  32951
"8192"   2075514  2355374  2195537  2120080  1853395  1585750  1243305  874921  502792  143722  75638  52178
"16384"   2516016  3016286  2846964  2864289  2741234  2407931  1785347  1454047  896222  575565  333808  167238  68886
"32768"   2878676  3509784  3364906  3379884  3370848  2926549  2513477  2048001  1413387  899105  541324  208720  143911
"65536"   2771427  3926669  3738472  3810033  3878303  3428140  3012433  2576904  2109030  861454  586567  321061  197818
"131072"   3196964  4182248  3992451  4079796  4184254  3747922  3373111  3128593  2735119  1835641  1178504  645973  415410
"262144"   3442689  4228747  4072388  4137440  4328942  3960479  3532422  3441557  3093287  2112074  1174453  947739  611380
"524288"   3511830  4368230  4101929  4262682  4317619  4101707  3642456  3560411  3445314  2352903  1402612  1423851  928806
"1048576"   3486606  4344067  4232705  4345261  4497390  4064847  3725343  3695511  3380941  2415777  1763651  1441416  1316633
"2097152"   3482675  4413124  4147281  4340545  4418034  4076056  3731886  3758458  3693573  2419175  1754736  1645703  1532509

"Stride read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   99686  117230  75386  50745  85114
"128"   84602  173643  184440  120867  104068  102167
"256"   84741  111213  340459  203637  172855  173806  152567
"512"   82886  115993  185980  489532  346882  254748  199306  173438
"1024"   89847  130531  177376  274670  644038  645684  446007  389785  276313
"2048"   88393  151322  234621  291700  352627  1503627  1432179  522063  517409  376820
"4096"   83221  156283  247942  325729  380070  433486  2056285  1225225  810914  518734  511948
"8192"   91885  121370  236906  341162  411553  429331  593885  1927960  1303836  819439  612213  544029
"16384"   84144  157682  255624  356421  422159  494417  585415  643948  1709703  1494785  941403  583412  593238
"32768"   86608  172033  273337  366560  439456  526620  599696  422704  605266  2120061  1093512  1150320  888624
"65536"   82528  138840  255825  342231  409848  515978  597667  561172  559839  585378  1571082  1351842  1128158
"131072"   88315  152893  238382  197703  437922  480238  579746  598267  633608  572999  610466  1735889  1590388
"262144"   87219  149169  256634  308578  358070  488562  553781  595837  610385  573859  600717  650384  1500974
"524288"   85037  145438  243635  335500  292949  500553  526948  565400  628458  579371  584256  583024  611581
"1048576"   81914  139708  226331  288920  377684  485140  492700  529055  554169  574673  599599  598003  603857
"2097152"   31654  41747  58088  77947  37651  70754  131556  157119  200804  197213  231649  223388  303604

"Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   27386  25177  26903  14372  28059
"128"   40842  40439  39949  40531  40660  41212
"256"   52457  53690  53444  47724  52403  49146  50070
"512"   62068  63249  63509  61236  64736  66348  63015  63856
"1024"   68923  67113  71763  73027  72500  73972  70577  73950  76686
"2048"   37958  35303  35889  41368  39299  40968  40657  36340  37518  39526
"4096"   38725  34024  40774  40341  40019  40336  41209  39267  38257  37594  38977
"8192"   46085  47063  51185  46243  50538  51295  53226  51460  42596  46817  51711  20493
"16384"   77742  73388  76972  72905  73657  77352  78848  64820  75303  72374  72342  71987  74786
"32768"   77767  81574  80354  76584  80621  70996  79645  73628  78896  78685  48745  70864  77034
"65536"   75016  75938  79773  79347  82075  62534  51417  56390  50403  56022  50943  57076  51075
"131072"   54389  54219  51370  55849  54058  53161  48603  56792  57839  54347  53569  50965  52088
"262144"   54496  52671  55854  54380  51664  53050  49994  50663  55344  53215  51465  53241  50212
"524288"   52592  50296  54652  47984  52229  57754  55812  52986  50792  55161  51981  55715  52419
"1048576"   53313  56191  55148  54747  51193  53243  57509  55432  49764  56212  55336  56143  55442
"2097152"   46629  46207  52730  52300  55966  52611  48852  51177  49365  50410  47029  53828  53661

"Re-Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   27574  29115  26100  26959  29505
"128"   37792  43613  42009  36611  40288  41612
"256"   53356  53235  52717  55219  54783  48273  49524
"512"   63195  58809  60292  63054  65404  63539  64746  63187
"1024"   73463  68449  72027  73611  72722  73216  63801  70363  74165
"2048"   37168  37064  30855  40424  37457  39718  70141  40891  39003  35752
"4096"   40066  40234  39286  38903  38421  40535  38461  37871  33690  33185  40766
"8192"   47695  52578  53424  46716  49919  52841  52659  50797  45593  48332  52399  49568
"16384"   76132  74228  77125  75614  77698  77282  77386  67493  76385  74570  76180  71366  58041
"32768"   79829  80820  82046  79655  81478  70432  80444  82582  71684  77813  79120  69896  78260
"65536"   73404  76833  81764  78357  76209  62656  51252  57698  52001  48046  51426  56181  50653
"131072"   51655  54375  52542  56097  53434  53763  53331  57194  55642  54990  54483  51240  52362
"262144"   51183  47691  53384  54776  54501  52744  51697  52517  55464  51760  50479  51594  52829
"524288"   51934  49037  51896  52096  50540  57268  52912  46890  52951  56368  51266  57721  52300
"1048576"   54618  57137  56387  55876  55938  54774  57684  52754  54549  54625  55510  53413  56024
"2097152"   48350  47889  53233  53135  55369  51726  47922  53003  52908  52350  50745  53345  53911

"Fread report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   77118  62083  77474  80086  96949
"128"   100938  97705  93845  137349  129434  135170
"256"   150852  122730  128702  157814  168752  139722  156777
"512"   179333  201891  196246  222311  219471  207972  230941  216114
"1024"   276758  273202  315950  203294  257866  269906  286201  280702  286105
"2048"   345660  382730  402041  409282  419844  445887  409926  318702  401871  364802
"4096"   544618  419156  457096  562264  436161  504003  506858  616676  581406  416473  391628
"8192"   456863  651866  519336  712594  536788  709079  552275  521346  549467  465321  565547  428432
"16384"   695029  613244  715151  719916  544732  684001  589564  601026  632538  650932  557318  598613  623770
"32768"   690738  678610  691555  589841  642280  676619  639486  454941  631088  546625  567676  574433  591800
"65536"   691308  696369  707831  596373  683271  384237  513423  588622  633228  545016  603334  630256  634098
"131072"   637429  659657  685824  680430  740933  663863  669414  644316  585574  533526  581251  587437  602389
"262144"   697369  705733  742028  648215  697499  677233  684656  668061  609193  645945  576716  664288  627855
"524288"   704082  699476  696871  658511  685008  664980  648064  668357  626598  595312  632369  586832  644945
"1048576"   722624  696816  680996  673970  600075  687437  690678  659875  560911  646725  631833  639241  568362
"2097152"   79868  88853  103298  135196  127184  120968  81709  209644  83170  81632  81386  211889  203929

"Re-Fread report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   61066  20532  95399  83111  95230
"128"   103727  89021  100560  120164  140659  126090
"256"   152200  143169  154034  149363  168303  153111  144149
"512"   179768  181500  204721  206631  180798  222127  214774  200628
"1024"   296720  252841  318504  341444  290322  256128  292815  286029  276545
"2048"   374275  388617  425164  457865  381235  364214  492067  405629  466747  435555
"4096"   511552  459148  502088  517765  466301  466352  452950  397591  556526  526218  503265
"8192"   703648  687486  563100  521813  527493  675577  722468  627978  569758  546496  555238  399569
"16384"   712127  600937  742328  746287  732181  593003  656880  558723  607917  514091  514834  526784  498553
"32768"   602795  658693  662114  697575  674488  678286  690391  639325  488746  555033  635098  656541  578296
"65536"   705941  635919  693408  655977  667855  546461  527715  649630  634411  553475  609518  621654  533755
"131072"   537044  685810  668891  650110  715833  732278  674947  660881  624485  560532  616087  649807  664399
"262144"   661498  644164  678463  683677  723161  640353  638992  621508  589212  605303  626326  599760  623060
"524288"   664351  675385  662760  651263  699021  661951  635281  653738  635855  608435  627796  590676  602571
"1048576"   667230  675210  653381  686939  584657  660529  668192  579782  608593  580985  607748  617169  556582
"2097152"   82729  83199  97835  89047  106743  140146  81818  98521  83677  131487  130732  105444  109194
root@nfsclient:/home/vedams/iozone3_394/src/current#

IOZONE RESULTS USING SNAPSERVER
